origem,destino,distancia
Lousado,Fradelos,9.2
Lousado,Calendário,5.7
Fradelos,Gondifelos,10.2
Gondifelos,Outiz,5.1
Outiz,Calendário,4.2
Calendário,Abade de Vermoim,6.0
Abade de Vermoim,Cabeçudos,5.2
Calendário,Famalicão,4.0
Famalicão,Louro,5.1
Louro,Nine,4.2
Famalicão,Requião,5.2
Requião,Castelões,8.0
Mogege,Castelões,3.1
Novais,Castelões,3.9
Novais,Riba de Ave,4.9
Novais,Bairro,3.0
Famalicão,Cruz,11.4
Arnoso,Cruz,3.9
Telhado,Cruz,6.2
Telhado,Joane,9.0
Mogege,Joane,3.0
Arnoso,Tebosa,3.2
Telhado,Escudeiros,5.3
Tebosa,Tadim,5.6
Tadim,Aveleda,2.7
Aveleda,Figueiredo,4.4
Figueiredo,Escudeiros,3.5
Figueiredo,Esporões,3.7
Tadim,Cabreiros,6.6
Cabreiros,Maximinos,5.2
Maximinos,Nogueira,5.5
Maximinos,Dume,4.6
Panóias,Dume,4.7
Dume,Palmeira,6.7
Palmeira,Crespos,9.2
Crespos,Gualtar,6.2
Crespos,Este,6.3
Este,Gualtar,3.8
Este,Sobreposta,4.2
Gualtar,Maximinos,7.3
Sobreposta,Nogueiró,9.2
Maximinos,Nogueiró,6.6
Gondifelos,Grimancelos,4.9
Grimancelos,Carvalhas,7.2
Carvalhas,Pereira,7.9
Pereira,Courel,5.3
Pereira,Barcelos,5.9
Barcelos,Gilmonde,5.1
Gilmonde,Cristelo,6.3
Gilmonde,Perelhal,9.0
Perelhal,Vila Cova,2.2
Vila Cova,Vilar do Monte,5.3
Perelhal,Vilar do Monte,4.6
Vilar do Monte,Quintiães,11.6
Quintiães,Aldreu,11.7
Quintiães,Balugães,6.0
Balugães,Panque,5.7
Quintiães,Panque,8.7
Quintiães,Alvito,8.2
Panque,Oliveira,10.6
Oliveira,Pousa,5.5
Alvito,Lijó,4.9
Lijó,Barcelos,5.5
Barcelos,Galegos,6.8
Galegos,Areias de Vilar,10.0
Areias de Vilar,Várzea,4.2
Areias de Vilar,Bastuço,9.6
Bastuço,Moure,3.1
Bastuço,Tadim,4.2





